				NO			,				FN			,				LN			,				DIVISION			,				OVERALL			,				DIVPL			,				SEXPL			,				10K			,				HALF MARATHON			,				20 MILE			,				TIME			,				PACE			
8825,Josh,Shapiro,M30-34,58,11/98,56/678,42:27:00,1:30:03,2:20:05,3:09:16,7:14
8999,Eric,Yandl,M18-24,59,10/100,57/678,45:23:00,1:36:31,2:25:59,3:09:16,7:14
8498,Jay,Kwon,M18-24,60,11/100,58/678,42:05:00,1:29:22,2:19:25,3:09:17,7:14
8232,Jeremy,Duss,M40-44,61,4/76,59/678,41:14:00,1:27:55,2:16:54,3:09:36,7:15
8397,Ben,Hoscheit,M18-24,62,12/100,60/678,-,1:30:22,2:19:08,3:09:44,7:15
8910,Nate,Truckenbrod,M30-34,63,12/98,61/678,42:11:00,1:30:01,2:19:01,3:09:56,7:15
8959,Kenneth,Wedig,M50-54,64,1/46,62/678,45:18:00,1:36:26,2:25:54,3:10:15,7:16
9018,Rick,Adamich,M35-39,65,10/107,63/678,44:34:00,1:32:51,2:21:56,3:10:17,7:16
9115,Dale,Humphrey,M50-54,66,2/46,64/678,43:09:00,1:30:59,2:21:06,3:10:27,7:17
8113,Claire,Brickson,F25-29,67,2/79,3/430,-,1:34:30,2:24:12,3:10:35,7:17
8882,Jake,Strickler,M35-39,68,11/107,65/678,44:18:00,1:33:59,2:23:44,3:11:00,7:18
8992,Nathan,Wohlfeil,M40-44,69,5/76,66/678,44:46:00,1:34:44,2:25:42,3:11:25,7:19
9152,Brad,Stankowski,M25-29,70,16/109,67/678,43:32:00,1:31:37,2:21:44,3:11:38,7:19
9062,Mark,Workman,M35-39,71,12/107,68/678,42:03:00,-,-,3:12:00,7:20
8967,Anna,Wenzel,F18-24,72,1/88,4/430,44:23:00,1:33:40,2:24:12,3:12:07,7:20
8080,Evan,Beyer,M18-24,73,13/100,69/678,-,-,2:17:55,3:12:30,7:21
8705,Jacob,Peterson,M18-24,74,14/100,70/678,-,1:34:23,2:24:33,3:12:35,7:22
8183,John,Curtin,M45-49,75,8/58,71/678,42:27:00,-,2:19:14,3:12:46,7:22
8447,Sean,Kennedy,M25-29,76,17/109,72/678,45:20:00,1:36:21,2:27:51,3:12:51,7:22
9000,Terry,Yandl,M50-54,77,3/46,73/678,45:22:00,1:36:36,2:27:48,3:13:11,7:23
8250,Michael,Eppink,M18-24,78,15/100,74/678,41:30:00,1:29:51,2:22:09,3:13:23,7:23
8391,Krisana,Hoff,F40-44,79,1/45,5/430,44:47:00,1:34:44,2:25:36,3:13:30,7:24
8828,Matt,Sherman,M18-24,80,16/100,75/678,50:00:00,1:40:35,2:30:21,3:13:31,7:24
9015,Michael,Zweifel,M25-29,81,18/109,76/678,43:58:00,1:32:43,2:22:15,3:13:42,7:24
9194,Bob,Schaller,M50-54,82,4/46,77/678,44:41:00,1:35:05,2:26:21,3:13:45,7:24
8453,Nicholas,Kielpinski,M18-24,83,17/100,78/678,45:06:00,1:34:09,2:25:51,3:13:46,7:24
8225,Kylee,Drugan-Eppich,F25-29,84,3/79,6/430,45:45:00,1:35:41,2:26:29,3:13:56,7:25
8739,Emily,Raykovich,F30-34,85,1/54,7/430,44:25:00,1:35:05,2:25:52,3:13:57,7:25
8508,Edward,Larson,M01-19,86,2/21,79/678,41:25:00,1:29:16,2:19:49,3:14:16,7:25
8902,Jean-Luc,Thiffeault,M45-49,87,9/58,80/678,44:41:00,1:34:55,2:25:49,3:14:44,7:26
8226,Jackie,Dubnicka,F18-24,88,2/88,8/430,42:25:00,1:30:45,2:21:42,3:14:45,7:26
8500,David,Lahm,M18-24,89,18/100,81/678,-,1:29:53,2:23:47,3:15:05,7:27
8078,Andrew,Bersch,M40-44,90,6/76,82/678,44:47:00,1:35:22,2:26:45,3:15:17,7:28
8535,Jack,Lodermeier,M01-19,91,3/21,83/678,42:05:00,-,-,3:15:23,7:28
