				NO			,				FN			,				LN			,				DIVISION			,				OVERALL			,				DIVPL			,				SEXPL			,				10K			,				HALF MARATHON			,				20 MILE			,				TIME			,				PACE			
8191,Mehmet,Dasiyici,M30-34,250,29/98,201/678,51:02:00,1:47:26,-,3:39:58,8:24
8060,Patrick,Barrett,M45-49,251,19/58,202/678,47:49:00,1:46:05,2:44:53,3:39:59,8:24
8423,Robert,Johnson,M50-54,252,9/46,203/678,43:56:00,1:34:28,2:33:45,3:40:00,8:24
9181,Dustin,Maher,M30-34,253,30/98,204/678,-,-,2:42:42,3:40:07,8:25
8868,David,Steines,M50-54,254,10/46,205/678,50:31:00,1:46:55,2:45:02,3:40:24,8:25
8545,Patrick,Luebke,M25-29,255,36/109,206/678,52:55:00,1:49:30,2:46:10,3:40:25,8:25
8461,Ben,Kjorlie,M25-29,256,37/109,207/678,47:29:00,1:42:08,2:41:21,3:40:27,8:25
8564,David,Markle,M30-34,257,31/98,208/678,51:10:00,-,2:47:03,3:40:29,8:25
8315,Adam,Gould,M45-49,258,20/58,209/678,51:46:00,-,-,3:40:29,8:25
8859,Rick,Sperko,M45-49,259,21/58,210/678,51:05:00,1:48:16,2:47:03,3:40:30,8:25
8773,Josh,Ruffin,M30-34,260,32/98,211/678,51:19:00,1:48:51,2:47:12,3:40:34,8:26
8876,Sarah,Stineman,F30-34,261,8/54,50/430,49:42:00,1:44:56,-,3:40:35,8:26
8654,Eric,Nigh,M25-29,262,38/109,212/678,49:26:00,-,2:41:21,3:40:39,8:26
8266,Brandon,Feinen,M30-34,263,33/98,213/678,51:29:00,1:49:04,2:47:22,3:40:47,8:26
8273,Daniel,Flattum,M01-19,264,9/21,214/678,47:31:00,1:41:36,2:40:12,3:41:22,8:27
8091,Daniel,Bloznalis,M25-29,265,39/109,215/678,49:23:00,1:44:40,2:44:28,3:41:31,8:28
8043,Anna,Avila,F18-24,266,17/88,51/430,1:29:41,-,-,3:41:49,8:28
8553,Robert,MacKsam,M40-44,267,22/76,216/678,49:33:00,1:45:25,2:44:34,3:41:50,8:28
8879,Erik,Strahler,M35-39,268,38/107,217/678,49:25:00,1:44:49,2:44:05,3:42:04,8:29
8448,Colin,Kenny,M18-24,269,36/100,218/678,51:21:00,1:48:50,2:48:28,3:42:19,8:30
8645,David,Neujahr,M40-44,270,23/76,219/678,50:59:00,1:48:31,2:47:41,3:42:19,8:30
8106,Isak,Bowron,M01-19,271,10/21,220/678,50:23:00,1:44:58,2:43:09,3:42:34,8:30
8083,Christoper,Biller,M30-34,272,34/98,221/678,51:07:00,1:48:40,2:46:00,3:42:55,8:31
8659,Michael,Nuenninghoff,M18-24,273,37/100,222/678,49:22:00,1:44:50,2:44:51,3:42:58,8:31
8340,Samuel,Haack,M18-24,274,38/100,223/678,51:05:00,1:48:38,2:46:58,3:43:10,8:32
8923,John,Van Wie,M40-44,275,24/76,224/678,52:26:00,1:48:35,2:46:21,3:43:13,8:32
9187,Marty,Prem,M35-39,276,39/107,225/678,49:27:00,-,2:42:03,3:43:18,8:32
8658,Dirk,Nuenninghoff,M50-54,277,11/46,226/678,49:23:00,1:44:48,2:44:59,3:43:40,8:33
8119,Jim,Brunner,M25-29,278,40/109,227/678,44:43:00,-,2:30:30,3:43:59,8:33
8838,Thomas,Sinsky,M60-64,279,3/25,228/678,51:18:00,1:48:00,2:46:41,3:44:03,8:34
9101,Lauren,Faust,F18-24,280,18/88,52/430,49:25:00,1:47:26,2:49:51,3:44:08,8:34
9192,Louis,Lang,M18-24,281,39/100,229/678,49:00:00,1:45:40,2:47:20,3:44:15,8:34
9154,Kellie,Tutkowski,F25-29,282,10/79,53/430,49:30:00,1:44:56,2:43:25,3:44:37,8:35
8957,Jim,Webb,M55-59,283,9/33,230/678,49:36:00,1:44:52,2:41:46,3:44:47,8:35
8644,Konstantin,Nesterov,M30-34,284,35/98,231/678,49:24:00,1:45:42,2:46:47,3:44:50,8:35
9116,Mark,Iversen,M55-59,285,10/33,232/678,51:08:00,1:48:44,2:47:24,3:44:54,8:36
81,Daniel,Will,M25-29,286,41/109,233/678,52:05:00,1:48:55,2:48:45,3:44:58,8:36
8841,Aaron Wayne,Smith,M40-44,287,25/76,234/678,51:12:00,1:49:09,2:49:01,3:45:02,8:36
8603,Anna,Miller,F18-24,288,19/88,54/430,51:09:00,1:48:30,2:48:30,3:45:09,8:36
8518,Susan,Lee,F40-44,289,6/45,55/430,51:03:00,1:48:22,2:47:42,3:45:18,8:36
8761,Justin,Rolain,M30-34,290,36/98,235/678,51:59:00,1:50:00,2:50:15,3:45:21,8:37
8681,Melanie,Ott,F30-34,291,9/54,56/430,54:04:00,1:53:50,2:53:38,3:45:42,8:37
8526,Riley,Lenoch,M18-24,292,40/100,236/678,54:12:00,1:54:29,2:55:54,3:45:46,8:38
8108,Travis,Bradford,M01-19,293,11/21,237/678,50:51:00,1:44:21,2:42:16,3:45:54,8:38
9113,Karl,Hanson,M35-39,294,40/107,238/678,51:05:00,1:48:39,2:47:10,3:46:06,8:38
8205,Aron,Denenberg,M18-24,295,41/100,239/678,45:50:00,1:39:36,2:40:17,3:46:11,8:38
9052,Jennifer,Sjoberg,F40-44,296,7/45,57/430,49:48:00,1:45:22,2:44:48,3:46:15,8:39
8497,Thomas,Kwiatkowski,M25-29,297,42/109,240/678,51:53:00,1:47:44,2:47:01,3:46:17,8:39
8629,Steven,Mulrooney,M50-54,298,12/46,241/678,50:26:00,1:48:27,-,3:46:17,8:39
8984,Ryan,Williams,M18-24,299,42/100,242/678,51:11:00,1:49:42,2:49:14,3:46:26,8:39
35,Dennis,Halterman,M45-49,300,22/58,243/678,51:08:00,1:48:45,2:47:03,3:46:33,8:39
8244,Sarah,El-Meanawy,F01-19,301,1/15,58/430,53:31:00,1:52:31,2:52:36,3:46:34,8:39
8411,Pete,Jacobs,M45-49,302,23/58,244/678,49:28:00,1:51:06,2:50:20,3:46:35,8:39
8208,Joel,Deutsch,M18-24,303,43/100,245/678,53:02:00,1:50:48,2:50:22,3:46:40,8:40
8186,Katherine,Daigle,F18-24,304,20/88,59/430,52:27:00,1:51:50,2:52:22,3:46:42,8:40
8103,Brittany,Bordoli,F25-29,305,11/79,60/430,54:04:00,1:53:50,2:53:38,3:46:45,8:40
8685,Saager,Paliwal,M18-24,306,44/100,246/678,47:24:00,1:40:14,2:43:18,3:46:54,8:40
80,Lona,Werner,F45-49,307,3/35,61/430,49:13:00,-,-,3:47:19,8:41
8873,Sydney,Stiener,F18-24,308,21/88,62/430,49:11:00,1:44:32,2:41:09,3:47:31,8:41
8427,Matthew,Jones,M30-34,309,37/98,247/678,50:09:00,1:48:02,2:49:06,3:47:36,8:42
8843,Andrew,Smith,M35-39,310,41/107,248/678,48:46:00,1:42:53,2:42:15,3:47:51,8:42
8586,Kaitlin,McKeogh,F18-24,311,22/88,63/430,-,1:44:51,2:44:48,3:47:52,8:42
8849,Wade,Snowden,M18-24,312,45/100,249/678,53:23:00,1:52:04,-,3:48:02,8:43
8759,Tom,Rogers,M35-39,313,42/107,250/678,54:13:00,1:51:54,2:50:30,3:48:04,8:43
71,Mark,Shepler,M40-44,314,26/76,251/678,53:40:00,1:53:02,2:52:45,3:48:06,8:43
9205,Alison,Loftus,F35-39,315,10/69,64/430,50:39:00,1:47:58,2:48:38,3:48:07,8:43
90,Brian,Hook,M25-29,316,43/109,252/678,51:42:00,1:49:11,2:51:09,3:48:25,8:44
9186,Josh,Nayes,M25-29,317,44/109,253/678,47:16:00,1:42:50,2:44:13,3:48:34,8:44
8696,Jesse,Patton,M30-34,318,38/98,254/678,51:26:00,1:49:37,2:49:56,3:48:37,8:44
8810,Danielle,Schurman,F40-44,319,8/45,65/430,53:48:00,1:55:11,2:54:34,3:48:42,8:44
9086,John,Brick,M30-34,320,39/98,255/678,47:02:00,1:40:21,2:40:10,3:48:47,8:44
8317,Dale,Grabhorn,M50-54,321,13/46,256/678,54:25:00,1:51:51,2:54:06,3:48:57,8:45
8726,Matt,Prough,M40-44,322,27/76,257/678,54:41:00,1:54:57,2:55:53,3:49:01,8:45
8046,David,Backeberg,M35-39,323,43/107,258/678,54:06:00,1:52:22,2:53:10,3:49:06,8:45
8231,Julia,Dury,F18-24,324,23/88,66/430,48:58:00,1:41:04,2:37:49,3:49:16,8:46
8389,Nichelle,Hoege,F25-29,325,12/79,67/430,49:24:00,1:46:18,2:48:03,3:49:31,8:46
8575,Andrew,Maulbetsch,M40-44,326,28/76,259/678,52:46:00,-,2:53:20,3:49:31,8:46
8803,Toni,Schmidt,F40-44,327,9/45,68/430,-,1:48:31,2:48:34,3:49:44,8:47
8076,Nick,Bernhardt,M30-34,328,40/98,260/678,49:29:00,1:45:28,2:46:46,3:49:45,8:47
8597,Johnny,Mendoza,M30-34,329,41/98,261/678,45:36:00,1:36:13,2:38:37,3:49:49,8:47
9065,John,Zielinski,M40-44,330,29/76,262/678,51:02:00,1:48:12,2:48:06,3:49:51,8:47
9017,Benjamin,Adamczyk,M35-39,331,44/107,263/678,47:49:00,-,-,3:49:53,8:47
8335,Kayta,Gruneberg,F18-24,332,24/88,69/430,51:05:00,1:48:42,2:49:40,3:49:58,8:47
8384,Michael,Higgins,M01-19,333,12/21,264/678,49:51:00,1:47:06,2:47:54,3:50:02,8:47
8671,Jordan,Olesen,M18-24,334,46/100,265/678,54:12:00,1:55:59,2:57:11,3:50:04,8:47
8408,Anatoliy,Isayenko,M25-29,335,45/109,266/678,55:23:00,1:56:19,2:56:03,3:50:12,8:48
8118,Jesse,Brown,M30-34,336,42/98,267/678,51:13:00,1:49:20,2:51:02,3:50:13,8:48
8677,Sarah,Orlikowski,F35-39,337,11/69,70/430,56:39:00,1:58:23,2:58:04,3:50:21,8:48
8937,Brett,Vosburgh,M35-39,338,45/107,268/678,53:01:00,1:52:37,2:52:28,3:50:25,8:48
8056,Hannah,Barg,F18-24,339,25/88,71/430,55:30:00,1:57:00,2:58:09,3:50:27,8:48
8198,Kaitlin,Decker,F30-34,340,10/54,72/430,49:30:00,1:46:52,2:48:27,3:50:28,8:48
59,Zachary,Picknell,M25-29,341,46/109,269/678,51:04:00,1:49:09,2:49:00,3:50:30,8:48
8241,Nathan,Eichten,M01-19,342,13/21,270/678,49:15:00,1:46:06,2:51:22,3:50:48,8:49
8757,Lisa,Rodriguez,F45-49,343,4/35,73/430,51:50:00,1:49:48,2:52:27,3:50:56,8:49
8255,Daniel,Fabry,M35-39,344,46/107,271/678,54:36:00,1:56:01,2:57:14,3:50:58,8:49
9046,Steph,Scharenbroch,F30-34,345,11/54,74/430,50:47:00,1:48:38,2:49:43,3:50:59,8:49
8846,Rob,Smith,M50-54,346,14/46,272/678,54:36:00,1:56:02,2:57:15,3:50:59,8:49
8877,Chris,Stockner,M40-44,347,30/76,273/678,48:59:00,1:45:03,2:45:50,3:50:59,8:49
8782,Avik,Saha,M35-39,348,47/107,274/678,50:53:00,1:49:56,2:49:53,3:51:02,8:50
8976,Shannon,White,F35-39,349,12/69,75/430,53:58:00,1:52:47,2:53:40,3:51:04,8:50
8144,Michael,Carlson,M30-34,350,43/98,275/678,53:07:00,1:52:52,2:54:28,3:51:08,8:50
8058,Dustin,Barman,M25-29,351,47/109,276/678,47:25:00,-,2:39:27,3:51:09,8:50
9068,Matthew,Kazy-Garey,M25-29,352,48/109,277/678,51:21:00,1:50:42,2:52:19,3:51:11,8:50
9161,Tomas,Voleiko,M18-24,353,47/100,278/678,54:24:00,1:54:30,2:56:15,3:51:22,8:50
9077,Jaime,Becher,M18-24,354,48/100,279/678,46:54:00,1:39:10,2:37:40,3:51:25,8:50
8922,Tony,Van Berkel,M35-39,355,48/107,280/678,51:01:00,1:48:38,2:49:11,3:51:27,8:51
8150,Tyler,Centers,M18-24,356,49/100,281/678,47:26:00,1:40:39,2:45:01,3:51:29,8:51
8797,Evan,Schilling,M25-29,357,49/109,282/678,53:34:00,1:51:24,2:53:08,3:51:34,8:51
8507,Elizabeth,Laptew,F25-29,358,13/79,76/430,54:17:00,1:53:50,2:54:07,3:51:39,8:51
8556,Jason,Mahn,M40-44,359,31/76,283/678,-,1:52:26,2:53:37,3:51:42,8:51
9104,Taylor,Fitch,M25-29,360,50/109,284/678,54:03:00,1:54:24,2:56:18,3:51:48,8:51
9073,Bradley,Austin,M25-29,361,51/109,285/678,51:10:00,1:49:30,2:51:53,3:51:49,8:51
26,Julia,Erickson,F18-24,362,26/88,77/430,56:02:00,1:57:31,2:57:39,3:52:02,8:52
8420,Morgan,Jindra,F18-24,363,27/88,78/430,50:51:00,1:48:20,2:49:56,3:52:02,8:52
8145,Paul,Carlson,M30-34,364,44/98,286/678,52:52:00,-,2:53:49,3:52:03,8:52
8775,Birgit,Rusche,F45-49,365,5/35,79/430,51:48:00,1:51:30,2:53:13,3:52:10,8:52
8572,Alastair,Matthews,M55-59,366,11/33,287/678,52:15:00,-,2:51:57,3:52:38,8:53
8531,Aaron,Lindgren,M25-29,367,52/109,288/678,54:18:00,1:53:54,2:56:24,3:52:41,8:53
8551,April,MacIntyre,F25-29,368,14/79,80/430,54:15:00,1:55:35,2:57:34,3:52:58,8:54
8303,Phil,Gleason,M50-54,369,15/46,289/678,53:55:00,1:53:28,2:54:33,3:52:58,8:54
9111,Kurt,Haiar,M40-44,370,32/76,290/678,54:24:00,1:55:06,2:56:34,3:53:00,8:54
8296,Fidel,Garcia,M40-44,371,33/76,291/678,47:47:00,1:44:19,2:45:37,3:53:06,8:54
8387,Leslie,Hodges,F30-34,372,12/54,81/430,56:03:00,1:55:40,2:56:01,3:53:13,8:55
8729,Anthony,Pudlo,M30-34,373,45/98,292/678,53:40:00,1:51:59,2:51:31,3:53:27,8:55
9035,Kelly,Kopec,F45-49,374,6/35,82/430,54:27:00,1:56:00,2:57:48,3:53:33,8:55
8744,Koreena,Renard,F45-49,375,7/35,83/430,54:07:00,-,2:53:52,3:53:37,8:55
9009,Dave,Zielinski,M18-24,376,50/100,293/678,-,1:57:39,2:59:03,3:53:45,8:56
8740,Danny,Reardon,M18-24,377,51/100,294/678,51:04:00,1:48:40,2:49:32,3:53:52,8:56
8437,Lei,Kang,M35-39,378,49/107,295/678,53:09:00,1:50:25,2:52:43,3:54:00,8:56
8519,Sam,Leichtling,M30-34,379,46/98,296/678,53:55:00,1:53:27,2:55:10,3:54:04,8:56
8929,Charles,Ver Hoeve,M50-54,380,16/46,297/678,52:51:00,-,-,3:54:05,8:57
8462,Joshua,Klahn,M01-19,381,14/21,298/678,47:24:00,1:39:43,2:36:56,3:54:09,8:57
8109,Mary Ellen,Bradshaw,F45-49,382,8/35,84/430,56:03:00,1:55:33,2:56:43,3:54:12,8:57
8069,Nathan,Beck,M30-34,383,47/98,299/678,52:45:00,1:52:03,2:53:20,3:54:12,8:57
9013,Robert,Zirkel,M30-34,384,48/98,300/678,53:52:00,1:54:12,2:56:06,3:54:15,8:57
8246,Rochelle,Engel,F45-49,385,9/35,85/430,52:09:00,1:51:36,2:56:16,3:54:18,8:57
8613,Chris,Mlsna,M25-29,386,53/109,301/678,53:28:00,1:50:53,2:51:26,3:54:21,8:57
8940,Lindsay,Wagner,F30-34,387,13/54,86/430,58:58:00,1:59:32,2:58:43,3:54:29,8:57
8466,Jaron,Kleiman,M25-29,388,54/109,302/678,58:58:00,1:59:32,2:58:43,3:54:29,8:57
8774,Scott,Rupke,M40-44,389,34/76,303/678,53:02:00,-,2:52:32,3:54:36,8:58
8539,Jon,Longley,M40-44,390,35/76,304/678,53:19:00,1:52:31,2:53:42,3:54:37,8:58
8925,Kelly,Vander Esch,F40-44,391,10/45,87/430,50:00:00,1:49:38,2:56:52,3:54:40,8:58
8986,Mary,Wilson,F50-54,392,1/26,88/430,54:35:00,1:56:19,2:59:24,3:54:40,8:58
78,Steve,Vander Sluis,M50-54,393,17/46,305/678,49:40:00,1:46:42,2:46:29,3:54:42,8:58
8061,Christopher,Barry,M35-39,394,50/107,306/678,51:10:00,1:49:38,2:52:36,3:54:56,8:59
8737,Ron,Rasque,M65-69,395,1/4,307/678,55:11:00,1:56:32,2:58:46,3:55:05,8:59
8875,Katlynn,Stincic,F18-24,396,28/88,89/430,57:06:00,1:59:52,3:00:25,3:55:09,8:59
9003,Tommy,Yeung,M60-64,397,4/25,308/678,-,-,2:20:12,3:55:09,8:59
8063,Jeremy,Baszynski,M40-44,398,36/76,309/678,55:12:00,1:56:53,2:59:04,3:55:12,8:59
8536,Isaac,Loegering,M18-24,399,52/100,310/678,48:42:00,1:40:01,2:42:42,3:55:20,8:59
8577,Megan,McCaghey,F25-29,400,15/79,90/430,51:49:00,1:51:50,2:54:24,3:55:24,9:00
8788,Rosanne,Santilli,F25-29,401,16/79,91/430,53:25:00,1:55:15,2:57:45,3:55:25,9:00
9099,Terrence,Donohue,M50-54,402,18/46,311/678,54:09:00,1:53:15,2:54:17,3:55:26,9:00
8228,Dom,Duelli,M45-49,403,24/58,312/678,55:36:00,1:57:36,2:59:31,3:55:27,9:00
8378,Nicole,Heth,F30-34,404,14/54,92/430,56:19:00,1:56:47,2:58:10,3:55:29,9:00
8204,Johan,Den Boon,M50-54,405,19/46,313/678,50:15:00,1:45:44,2:49:05,3:55:45,9:00
8998,Masaki,Yamaga,M40-44,406,37/76,314/678,-,1:51:04,2:52:10,3:55:47,9:00
8025,Anthony,Aliberti,M25-29,407,55/109,315/678,49:22:00,1:43:49,2:49:27,3:55:57,9:01
8031,Samantha,Andryk,F18-24,408,29/88,93/430,-,1:53:16,2:56:17,3:55:57,9:01
8111,Kim,Breidenbach,F30-34,409,15/54,94/430,56:11:00,1:57:49,2:59:44,3:56:14,9:01
8980,Hannah,Wierzbinski,F18-24,410,30/88,95/430,55:25:00,1:56:58,2:58:26,3:56:29,9:02
8672,Christopher,Olson,M35-39,411,51/107,316/678,54:28:00,-,-,3:56:31,9:02
7,Allen,Bausch,M55-59,412,12/33,317/678,54:10:00,1:56:47,2:58:28,3:56:35,9:02
9185,Stephen,Latham,M35-39,413,52/107,318/678,54:14:00,1:55:21,2:58:04,3:56:39,9:02
8515,Josiah,Laubenstein,M30-34,414,49/98,319/678,53:45:00,1:53:48,2:54:14,3:56:53,9:03
8804,Erin,Schoenecker,F40-44,415,11/45,96/430,-,1:49:59,2:51:01,3:56:55,9:03
8086,Dane,Bjorklund,M25-29,416,56/109,320/678,51:08:00,1:49:29,2:53:32,3:56:57,9:03
9189,Michel,Moreau,M50-54,417,20/46,321/678,52:42:00,1:53:03,2:55:58,3:57:00,9:03
8807,Shana,Schroeder,F45-49,418,10/35,97/430,50:58:00,1:48:43,2:52:16,3:57:07,9:03
8779,Marcio,Saban,M35-39,419,53/107,322/678,54:45:00,1:54:02,2:53:57,3:57:13,9:04
8697,Loren,Peabody,M35-39,420,54/107,323/678,53:51:00,1:59:30,3:01:43,3:57:38,9:05
8813,Christopher,Schwartz,M30-34,421,50/98,324/678,49:28:00,1:44:52,2:40:28,3:57:38,9:05
8692,James,Parens,M45-49,422,25/58,325/678,54:30:00,1:54:44,2:56:19,3:57:43,9:05
8958,Andy,Weber,M30-34,423,51/98,326/678,54:17:00,1:54:30,2:56:38,3:57:46,9:05
9058,Susie,Vandeweghe,F35-39,424,13/69,98/430,55:37:00,1:55:58,2:59:12,3:57:54,9:05
8634,Brock,Muzzy,M01-19,425,15/21,327/678,48:54:00,1:44:06,2:46:59,3:57:56,9:05
8589,Carolyn,McNamara,F18-24,426,31/88,99/430,-,1:53:46,-,3:58:01,9:06
9010,Casey,Zimmerman,F35-39,427,14/69,100/430,-,1:57:38,-,3:58:13,9:06
8472,Randy,Knight,M50-54,428,21/46,328/678,51:16:00,1:50:39,2:54:04,3:58:16,9:06
8747,Angelica,Resendiz Mora,F25-29,429,17/79,101/430,55:25:00,1:58:47,3:03:27,3:58:23,9:06
8468,Joe,Klimm,M40-44,430,38/76,329/678,51:47:00,1:50:23,2:53:08,3:58:39,9:07
8848,Michael,Smits,M50-54,431,22/46,330/678,54:21:00,1:53:30,2:55:15,3:58:40,9:07
8635,Finley,Myers,M18-24,432,53/100,331/678,55:08:00,1:56:33,2:58:48,3:58:40,9:07
8878,Rebecca,Stoebe-Latham,F25-29,433,18/79,102/430,52:38:00,1:55:12,2:58:58,3:58:47,9:07
9126,Sam,Lampe,M55-59,434,13/33,332/678,54:53:00,1:55:28,2:58:45,3:58:47,9:07
8584,Maura,McGrath,F35-39,435,15/69,103/430,57:09:00,1:59:06,3:02:03,3:58:49,9:07
9033,Patricia,Kaufman,F50-54,436,2/26,104/430,54:23:00,1:56:58,3:01:21,3:58:49,9:07
8154,Andrzej,Chamiga,M55-59,437,14/33,333/678,50:32:00,1:49:48,2:54:26,3:58:50,9:07
8815,Mark,Schwinn,M35-39,438,55/107,334/678,53:12:00,1:52:51,2:56:29,3:58:50,9:07
8264,Amanda,Farrow,F35-39,439,16/69,105/430,54:18:00,1:55:38,2:59:26,3:58:59,9:08
8738,Alan,Rault,M45-49,440,26/58,335/678,54:00:00,1:54:39,2:58:17,3:59:02,9:08
8528,Sergio,Leonardi,M45-49,441,27/58,336/678,55:27:00,1:57:38,3:01:56,3:59:05,9:08
8599,Dwight,Meyer,M35-39,442,56/107,337/678,51:43:00,1:50:24,2:52:58,3:59:07,9:08
41,Mary,Klapoetke,F25-29,443,19/79,106/430,55:24:00,1:57:30,2:59:34,3:59:09,9:08
8752,Chris,Ricketts,M35-39,444,57/107,338/678,54:25:00,1:55:47,3:01:08,3:59:12,9:08
8809,Nathan,Schultz,M25-29,445,57/109,339/678,55:13:00,1:56:53,2:59:04,3:59:13,9:08
8299,Edward,Gerczak,M40-44,446,39/76,340/678,51:09:00,1:48:44,2:52:28,3:59:16,9:08
9078,Dennis,Beggs,M55-59,447,15/33,341/678,56:47:00,-,3:04:11,3:59:19,9:09
8346,Mike,Halberg,M35-39,448,58/107,342/678,54:39:00,1:55:13,2:57:59,3:59:20,9:09
8888,Stephen,Sundstrom,M40-44,449,40/76,343/678,53:33:00,1:55:37,2:59:40,3:59:21,9:09
8701,Jessica,Perry,F35-39,450,17/69,107/430,52:47:00,1:53:08,2:55:45,3:59:25,9:09
8496,Alex,Kusters,M30-34,451,52/98,344/678,47:55:00,1:45:13,2:50:59,3:59:26,9:09
8107,Richard,Boyle,M25-29,452,58/109,345/678,55:29:00,1:57:27,3:00:46,3:59:30,9:09
8818,Larry,Seibert,M50-54,453,23/46,346/678,55:04:00,-,3:01:12,3:59:31,9:09
8238,Morgan,Eder,F01-19,454,2/15,108/430,55:13:00,1:52:51,2:58:45,3:59:32,9:09
9085,Michael,Bowman,M35-39,455,59/107,347/678,50:57:00,1:48:52,2:53:05,3:59:38,9:09
8867,Gina,Steele,F25-29,456,20/79,109/430,54:29:00,1:56:23,2:59:58,3:59:38,9:09
9200,Mike,Lindaman,M25-29,457,59/109,348/678,54:39:00,1:56:16,3:00:00,3:59:41,9:09
8067,Janet,Beach,F55-59,458,2/14,110/430,54:52:00,1:56:45,2:59:46,3:59:45,9:10
8276,Marielise,Fraioli,F30-34,459,16/54,111/430,55:44:00,1:57:30,3:01:36,3:59:46,9:10
8068,Dominique,Beaudin,F45-49,460,11/35,112/430,55:27:00,1:57:40,3:01:43,3:59:54,9:10
8789,Joey,Sarow,M18-24,461,54/100,349/678,47:14:00,1:40:14,2:47:15,3:59:54,9:10
8554,Matthew,MacLeod,M40-44,462,41/76,350/678,54:24:00,1:56:19,3:00:33,3:59:56,9:10
97,John,Hahn,M50-54,463,24/46,351/678,55:28:00,1:57:41,3:01:42,3:59:56,9:10
8709,Holly,Pfaff,F18-24,464,32/88,113/430,51:53:00,-,2:55:04,4:00:00,9:10
8855,Joe,Souder,M25-29,465,60/109,352/678,48:55:00,1:45:59,2:50:57,4:00:03,9:10
8275,Catie,Fox,F25-29,466,21/79,114/430,55:23:00,1:57:18,2:59:13,4:00:07,9:10
8900,Jacob,Tews,M30-34,467,53/98,353/678,57:17:00,1:59:25,3:03:00,4:00:08,9:10
8912,Elizabeth,Twitchell,F25-29,468,22/79,115/430,51:12:00,1:49:09,2:54:57,4:00:11,9:11
8136,Peter,Caldecourt,M45-49,469,28/58,354/678,51:11:00,1:50:42,2:55:27,4:00:15,9:11
8473,Noah,Kobin,M35-39,470,60/107,355/678,55:27:00,1:58:02,3:01:52,4:00:19,9:11
8994,Andrea,Woodard,F30-34,471,17/54,116/430,56:09:00,1:58:07,3:02:20,4:00:23,9:11
8047,Jordan,Bade,M25-29,472,61/109,356/678,54:55:00,1:57:20,3:01:37,4:00:45,9:12
8048,Rory,Bade,M18-24,473,55/100,357/678,54:55:00,1:57:21,3:01:37,4:00:45,9:12
8651,Frank,Nguyen,M25-29,474,62/109,358/678,53:54:00,1:54:39,2:58:51,4:00:50,9:12
8632,Joshua,Murphy,M25-29,475,63/109,359/678,49:04:00,1:43:54,2:50:16,4:01:00,9:12
9074,Jen,Baldwin Butzke,F40-44,476,12/45,117/430,54:09:00,1:55:42,2:59:41,4:01:06,9:13
86,Ryan,Zea,M30-34,477,54/98,360/678,55:26:00,1:57:33,3:01:47,4:01:11,9:13
91,Mark,Uselman,M60-64,478,5/25,361/678,54:42:00,1:55:30,2:57:54,4:01:15,9:13
8831,Ashley,Shoquist,F30-34,479,18/54,118/430,55:33:00,1:58:01,3:02:24,4:01:16,9:13
8200,Sarah,Deguire,F18-24,480,33/88,119/430,54:00:00,1:51:47,2:52:42,4:01:30,9:14
8005,Frank,Deguire,M45-49,481,29/58,362/678,54:01:00,-,2:52:42,4:01:31,9:14
8336,Anthony,Guglielmo,M30-34,482,55/98,363/678,54:20:00,1:54:44,3:00:46,4:01:39,9:14
8541,Tim,Lopez,M25-29,483,64/109,364/678,53:50:00,1:52:06,2:52:24,4:01:44,9:14
8477,Scott,Koenig,M18-24,484,56/100,365/678,55:28:00,1:57:01,-,4:01:44,9:14
9165,Jon,Weber,M45-49,485,30/58,366/678,52:21:00,1:50:45,2:53:14,4:01:48,9:14
8978,Noah,Wiedenfeld,M25-29,486,65/109,367/678,55:48:00,1:58:10,3:02:34,4:01:49,9:14
9105,Mike,Frumkin,M60-64,487,6/25,368/678,54:25:00,1:56:51,3:01:58,4:01:50,9:14
8543,Molly,Lubin,F30-34,488,19/54,120/430,1:00:56,2:06:59,3:09:43,4:01:53,9:14
8727,Julie,Przesmicki,F50-54,489,3/26,121/430,55:37:00,1:57:53,-,4:01:56,9:15
8156,David,Charlton,M60-64,490,7/25,369/678,51:53:00,1:50:27,2:54:26,4:01:59,9:15
8413,Elizabeth,Janeczko,F30-34,491,20/54,122/430,54:52:00,1:56:44,3:02:08,4:02:04,9:15
8277,Armila,Francis,F25-29,492,23/79,123/430,55:25:00,1:57:22,3:00:41,4:02:09,9:15
8750,Dane,Richards,M30-34,493,56/98,370/678,51:10:00,1:49:21,2:51:13,4:02:20,9:15
9141,Scott,Ritchie,M45-49,494,31/58,371/678,51:10:00,1:49:42,2:56:16,4:02:28,9:16
8883,Benjamin,Stringer,M40-44,495,42/76,372/678,52:29:00,1:51:34,2:55:54,4:02:30,9:16
8894,Sarah,Swapinski,F25-29,496,24/79,124/430,55:24:00,1:57:29,2:59:35,4:02:38,9:16
8037,Savannah,Armstrong,F25-29,497,25/79,125/430,58:21:00,2:00:57,3:05:09,4:02:44,9:16
87,Bridget,Laurent,F25-29,498,26/79,126/430,53:15:00,1:53:11,3:00:10,4:03:12,9:17
9049,Christy,Scott,F25-29,499,27/79,127/430,54:09:00,1:55:45,3:00:53,4:03:13,9:17
9142,Jeffrey,Roche,M30-34,500,57/98,373/678,54:31:00,1:52:23,2:59:32,4:03:21,9:18
8446,Andy,Kelly,M40-44,501,43/76,374/678,56:09:00,1:58:40,3:04:19,4:03:28,9:18
