age	gender	firstHalf	final	halfPace	fullPace	secondHalf	secondHalfPace	BQ	diffPace	ID
34	M	01:13:46	02:32:09	337.862595419847	348.435114503817	01:18:23	359.007633587786	1	21.1450381679389	78
33	M	01:13:31	02:32:10	336.717557251908	348.473282442748	01:18:39	360.229007633588	1	23.5114503816794	79
29	M	01:07:27	02:32:12	308.931297709924	348.549618320611	01:24:45	388.167938931298	1	79.236641221374	80
24	M	01:13:16	02:32:15	335.572519083969	348.664122137405	01:18:59	361.75572519084	1	26.1832061068702	81
28	M	01:14:04	02:32:15	339.236641221374	348.664122137405	01:18:11	358.091603053435	1	18.8549618320611	82
32	M	01:14:27	02:32:18	340.992366412214	348.778625954199	01:17:51	356.564885496183	1	15.5725190839694	83
33	M	01:15:59	02:32:27	348.015267175573	349.12213740458	01:16:28	350.229007633588	1	2.21374045801525	84
25	M	01:15:16	02:32:35	344.732824427481	349.427480916031	01:17:19	354.12213740458	1	9.38931297709922	85
31	M	01:12:43	02:32:36	333.053435114504	349.465648854962	01:19:53	365.87786259542	1	32.824427480916	86
29	M	01:13:34	02:32:45	336.946564885496	349.809160305344	01:19:11	362.671755725191	1	25.7251908396947	87
33	M	01:12:57	02:32:54	334.12213740458	350.152671755725	01:19:57	366.18320610687	1	32.0610687022901	88
26	M	01:14:40	02:32:57	341.984732824428	350.267175572519	01:18:17	358.549618320611	1	16.5648854961832	89
31	M	01:15:02	02:33:15	343.664122137405	350.954198473282	01:18:13	358.24427480916	1	14.5801526717557	90
29	M	01:14:41	02:33:19	342.06106870229	351.106870229008	01:18:38	360.152671755725	1	18.0916030534351	91
27	M	01:15:06	02:33:24	343.969465648855	351.297709923664	01:18:18	358.625954198473	1	14.6564885496183	92
34	M	01:14:12	02:33:26	339.847328244275	351.374045801527	01:19:14	362.900763358779	1	23.0534351145038	93
44	M	01:15:40	02:33:30	346.564885496183	351.526717557252	01:17:50	356.488549618321	1	9.92366412213744	94
36	M	01:15:37	02:33:37	346.335877862595	351.793893129771	01:18:00	357.251908396947	1	10.9160305343511	95
44	M	01:16:08	02:33:45	348.702290076336	352.099236641221	01:17:37	355.496183206107	1	6.79389312977099	96
26	M	01:16:15	02:33:49	349.236641221374	352.251908396947	01:17:34	355.267175572519	1	6.03053435114504	97
42	M	01:15:33	02:33:53	346.030534351145	352.404580152672	01:18:20	358.778625954199	1	12.7480916030535	98
36	M	01:15:17	02:33:56	344.809160305344	352.519083969466	01:18:39	360.229007633588	1	15.4198473282443	99
42	M	01:15:37	02:33:59	346.335877862595	352.63358778626	01:18:22	358.931297709924	1	12.5954198473282	100
35	M	01:15:30	02:34:03	345.801526717557	352.786259541985	01:18:33	359.770992366412	1	13.969465648855	101
26	M	01:12:56	02:34:05	334.045801526718	352.862595419847	01:21:09	371.679389312977	1	37.6335877862595	102
26	M	01:15:19	02:34:06	344.961832061069	352.900763358779	01:18:47	360.839694656489	1	15.8778625954199	103
35	W	01:14:29	02:34:11	341.145038167939	353.091603053435	01:19:42	365.038167938931	1	23.8931297709923	104
28	M	01:13:13	02:34:15	335.343511450382	353.24427480916	01:21:02	371.145038167939	1	35.8015267175572	105
41	M	01:16:56	02:34:18	352.36641221374	353.358778625954	01:17:22	354.351145038168	1	1.98473282442745	106
25	M	01:14:28	02:34:21	341.068702290076	353.473282442748	01:19:53	365.87786259542	1	24.8091603053435	107
33	M	01:13:30	02:34:31	336.641221374046	353.854961832061	01:21:01	371.068702290076	1	34.4274809160306	108
25	M	01:13:51	02:34:33	338.24427480916	353.931297709924	01:20:42	369.618320610687	1	31.3740458015267	109
41	M	01:15:41	02:34:37	346.641221374046	354.083969465649	01:18:56	361.526717557252	1	14.8854961832061	110
